Store Name,Store Address,City,State,Pincode
Ahmedabad-Nikol,"Unit No. 1-4 & 21 to 27 on Ground & Unit No. 101 on First floor Pushkar Icon, Nikol Naroda Road, Nikol, Ahmedabad Gujarat PIN-382 350",Ahmedabad,Gujarat,382350
Ahmedabad-Maninagar South,"Ground Fist & Second Floor Shop No 4,5,6,104,105,106,204,205,206, Lotus & Lily building, R.S. No. 172/1 Plot No D. TP Area TP-24 Manipur Extension, Mauja Rajpur Haripur, Maninagar Ahmedabad 380008",Ahmedabad,Gujarat,380008
Ahmedabad -Science City,"Unit no. 4,5,6 & 7 on Ground Floor and Unit no. 104, 105 & 106 on First Floor, Hir Asha Square, Near Earth Aroma, Science City Circle, S.P. Ring Road, Bhadaj, Ahmedabad (Gujarat) – 380060",Ahmedabad,Gujarat,380060
Anand-Vidyanagar Road,"Croma, Ground, First and Second Floor of the building known as “CP House”, Plot No. 15 Paiki, Mouje Village Anand, Tehsil and District Anand, Gujarat",Anand,Gujarat,
Bharuch-Dahej Bypass Road,"Croma,Unit No. 2 & 3 on Ground & Unit No. 102,103 & 104 on First floor, The Acropolis Building, opp. GACL Colony, Near Sharvan Chowkdi, Bharuch Dahej Bypass Road, Bharuch, Gujarat. PIN - 392001",Bharuch,Gujarat,392001
Bhavnagar-Sun Exotica,"Croma, Unit Nos. G/3, G/4 on Ground Floor and G- 104, G-105 & G-106 on First Floor, Sun Exotica, Plot No.16, 65-68, Iscon Megacity, Kalvibid Water Tank to Jewel's Circle Road, Bhavnagar, Gujarat. PIN – 364001.",Bhavnagar,Gujarat,364001
Bhuj-Seven Sky Mall,"Croma, Ground & First Floor (Anchor 2), Seven Sky Mall, Seven Sky Ring Road, Bhuj, Kutch, Gujarat, PIN -  370001.",Bhuj,Gujarat,370001
Gandhidham-RT Road,"Croma, Ground and First floor, Plot No. 323, Ward-12B, Rabindranath Tagore, Gandhidham, Kutch, Gujarat-370201",Gandhidham,Gujarat,370201
Jamnagar-Shreeji One,"Croma, Unit No. 1-7 on Ground & 1st Floor, Shreeji One, Nr. Gurudwara, Indira Gandhi Road, Jamnagar, Gujarat. PIN - 361001",Jamnagar,Gujarat,361001
Junagadh-Timbawadi Road,"Croma, Western Square Plot bearing No.14 to 17 and 27 to 29, Timbawadi Road, Near Swaminarayan Temple, Junagadh, 362 001, Gujrat",Junagadh,Gujarat,362001
Mehsana-Modhera Circle,"Part of Ground & First Floor, Simandhar Survey No. 1990/11, City Survey No. 2489 + 2295, Near Ashapuri Society,  Mehsana, Gujarat 384002",Mehsana,Gujarat,384002
Nadiad-Uttarsanda Road,"Croma, Ground, First & Second floor Sepal Building, Uttarsanda Road, Opp. Tulsi  Residency, Nadiad, Gujarat - 387 001",Nadiad,Gujarat,387001
Navsari-Grid Road,"Ground Floor, First Floor & Second Floor , Ground floor, Opposite PG Garden, Grid Road, Kabilpore, Navsari -394624",Navsari,Gujarat,394624
Palanpur-Delhi Highway,"Part of Ground Floor and First Floor, Chaudhary Complex 2&3, Near Chaudhary Complex 1, Delhi Highway, Palanpur, Dist. Banaskantha, Gujarat. PIN – 385001",Palanpur,Gujarat,385001
Rajkot-Crystal Mall,"CROMA,Crystal Mall,Opp Rani Tower Kalvad Main Road - 360005",Rajkot,Gujarat,360005
Rajkot-Nana Mawa Chowk,"Unit No. 1-4 on Ground & Unit No. 101-106 on First floor RK Prime Building, Next to Silver Heights, Nana Mava Circle, 150 Ft Ring Road, Rajkot, Gujarat. PIN-360 002",Rajkot,Gujarat,360002
Surat-Ghoddod,"CROMA, Crossway Mall Ram Chowk, Ghod Dod Road - 395007",Surat,Gujarat,395007
Surat-Ripple,"CROMA,Ripple Mall,Opp.Arun Motors Piplod,Dumas Road - 395001",Surat,Gujarat,395001
Surat-Adajan,"CROMA,Proton Plus,Opp.Khodiyar Temple L.P.Savani Road,Adajan - 395009",Surat,Gujarat,395009
Surat-Deepkamal Mall,"CROMA, DeepKamal Mall, Sarthana Naka Varachha Road - 395006",Surat,Gujarat,395006
Surat-Parvat Patiya,"Croma, DG Point, Block No 138 and 139, Puna Jakat Naka, Survey No. 76- 77, FP No. 54 of TPS NO 53, Magob, Opp Amazia Retail, Parvat Patia, Surat – 395010",Surat,Gujarat,395010
Surat-VIP Road,"Unit Nos 15-27 on Ground & Unit Nos 114-124 on First floor, Avadh Arena Building, VIP road, Vesu, Surat, Gujarat. PIN - 395 007",Surat,Gujarat,395007
Vadodara-Centre Square Mall,"CROMA,Centre Square Mall,Survey-54/A/2,Village Wadi Near Sarabhai Circle,Opp.Vadodara Central,Taluka Vadodara - 390023",Vadodara,Gujarat,390023
Vadodara-Eva Mall,"CROMA,Unit No.2,3,4,5,6,7,1st FLR/Unit No.2,3,4,5,6,7,2nd FLR EVA Mall, Patidar Crossing,Nr. Saraswati, Complex,Manjalpur - 390011",Vadodara,Gujarat,390011
Vadodara-Kareli Baug,"Croma, Ground & First floor Bricklane, L&T Circle, VIP Road, Kareli baug, Vadodara, Gujarat - 390008",Vadodara,Gujarat,390008
Vadodara-OP Road,"Ground & First floor Pancham Plus, Survey No 133/ Paiki, O.P. NO. 33, Mouja/Village Akota, Vadodara Gujarat - 390 012",Vadodara,Gujarat,390012
Vapi-Daman Road,"Croma, Rathod Chambers,Near balaji Tower, Daman Road, Chala, Vapi. 396191",Vapi,Gujarat,396191
Faridabad-Crown Mall,"Croma Crown Faridabad,1st Flr,Crown Mall 12/7 Main Mathura Road, NH2 - 121003",Faridabad,Haryana,121003
"Gurugram-Dlf Mega Mall","CROMA ,DLF Mega Mall,Phase-1 DLF City - 122002",Gurgaon,Haryana,122002
Gurugram-Sector 49,"CROMA,Ground/Mezzanine Floor,Universal Trade Tower Sec-49,Sohna Road - 122018",Gurgaon,Haryana,122018
Gurugram-Sector 29,"CROMA,Ground/First/Basement  SCO No.313 &First Floor,SCO No.314,Sec-29 - 122002",Gurgaon,Haryana,122002
Gurugram-Ambience Mall,"Croma Ambience Mall, S-207,208,2nd Floor,Ambience Mall Ambience Island, NH-8 - 122001",Gurgaon,Haryana,122001
Gurugram-Worldmark 2,"Croma, Part of Ground & First Floor, Wolrdmark, Gurugram, Village Maidawas, Sector 65, District Gurugram, Haryana-122018",Gurgaon,Haryana,122018
"Dhanbad-Prabhatam Grand Mall","Prabhatam Grand Mall – Chanchani Colony, Dhanbad, Jharkhand 826004",Dhanbad,Jharkhand,826004
Bangalore-SS Manor,"CROMA,S S Manor,Chelikere Ring Road Chikka Tayapa Reddy Layout,Kalyana Nagar Post - 560043",Bangalore,Karnataka,560043
Bangalore-Indira Nagar,"CROMA,767-767/1,Hal 2nd Floor 100 Ft Road,Indiranagar - 560038",Bangalore,Karnataka,560038
Bangalore-J P Nagar,"CROMA ,Ground floor/First Floor ,Woodys ,45/1- 1 17th Main,5th Cross,2nd Phase,Marehalli Road,J.P Nagar - 560078",Bangalore,Karnataka,560078
Bangalore-Bel Road,"CROMA Plot No.20 Samarth,New BEL Road Jaladarshini Layout - 560054",Bangalore,Karnataka,560054
